Part Name,eBay Scraped Avg Price,eBay Scraped Low Price,eBay Scraped URL,Scraped Image Filename,eBay Scrape Error,Google Shopping Avg Price,Google Shopping URL,Google Scrape Error
Door Panels,134.82,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Door%20Panels%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Door_Panels_20250518170918189387.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Door%20Panels%20used%20price&tbm=shop,Google Shopping scraping not implemented
Floor Mats & Carpets,70.69,14.79,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Floor%20Mats%20%26%20Carpets%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Floor_Mats_Carpets_20250518170925138908.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Floor%20Mats%20%26%20Carpets%20used%20price&tbm=shop,Google Shopping scraping not implemented
Instrument Clusters,116.24,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Instrument%20Clusters%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Instrument_Clusters_20250518170932222254.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Instrument%20Clusters%20used%20price&tbm=shop,Google Shopping scraping not implemented
Sun Visors,60.19,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Sun%20Visors%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Sun_Visors_20250518170939449984.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Sun%20Visors%20used%20price&tbm=shop,Google Shopping scraping not implemented
Fog & Driving Lights,63.04,16.49,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Fog%20%26%20Driving%20Lights%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Fog_Driving_Lights_20250518170946365480.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Fog%20%26%20Driving%20Lights%20used%20price&tbm=shop,Google Shopping scraping not implemented
Headlight Assemblies,164.33,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Headlight%20Assemblies%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Headlight_Assemblies_20250518170953430028.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Headlight%20Assemblies%20used%20price&tbm=shop,Google Shopping scraping not implemented
Interior Lights,51.8,3.25,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Interior%20Lights%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Interior_Lights_20250518171000606003.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Interior%20Lights%20used%20price&tbm=shop,Google Shopping scraping not implemented
LED Lights,114.81,15.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20LED%20Lights%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_LED_Lights_20250518171007604744.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20LED%20Lights%20used%20price&tbm=shop,Google Shopping scraping not implemented
Tail Light Assemblies,89.44,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Tail%20Light%20Assemblies%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Tail_Light_Assemblies_20250518171014817789.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Tail%20Light%20Assemblies%20used%20price&tbm=shop,Google Shopping scraping not implemented
Turn Signals,53.42,15.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Turn%20Signals%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Turn_Signals_20250518171021969890.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Turn%20Signals%20used%20price&tbm=shop,Google Shopping scraping not implemented
Cargo Boxes,118.38,19.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Cargo%20Boxes%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Cargo_Boxes_20250518171029023714.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Cargo%20Boxes%20used%20price&tbm=shop,Google Shopping scraping not implemented
Roof Racks,164.13,16.76,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Roof%20Racks%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Roof_Racks_20250518171036556332.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Roof%20Racks%20used%20price&tbm=shop,Google Shopping scraping not implemented
Batteries,132.5,5.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Batteries%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Batteries_20250518171043746232.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Batteries%20used%20price&tbm=shop,Google Shopping scraping not implemented
