Part Name,eBay Scraped Avg Price,eBay Scraped Low Price,eBay Scraped URL,Scraped Image Path,AI Image Valid,Google Shopping Avg Price,Google Shopping URL
Match Black,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Match%20Black%20used%20price&tbm=shop
Power,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Power%20used%20price&tbm=shop
Power Paint,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Power%20Paint%20used%20price&tbm=shop
Match,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Match%20used%20price&tbm=shop
Paint To,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Paint%20To%20used%20price&tbm=shop
Paint,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Paint%20used%20price&tbm=shop
Black,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Black%20used%20price&tbm=shop
2019 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202020%20used%20price&tbm=shop
To,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20To%20used%20price&tbm=shop
2019 2021,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202021%20used%20price&tbm=shop
2019 2020,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202020%20used%20price&tbm=shop
2019 2024,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202024%20used%20price&tbm=shop
2019 2023,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%202019%202023%20used%20price&tbm=shop
Fit,,,,,,,https://www.google.com/search?q=2020%20KIA%20Forte%20Fit%20used%20price&tbm=shop
