part,ebay_avg,google_avg,ebay_url,google_url,image_url,ai_valid
Blower Motor,65.3,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Blower+Motor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Blower+Motor+used,,True
AC Condenser,104.68,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+AC+Condenser+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+AC+Condenser+used,,True
Climate Control Panel,41.75,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Climate+Control+Panel+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Climate+Control+Panel+used,,True
Fuel Pump,115.92,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Fuel+Pump+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Fuel+Pump+used,,True
Fuel Injector,59.42,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Fuel+Injector+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Fuel+Injector+used,,True
Fuel Tank,107.66,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Fuel+Tank+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Fuel+Tank+used,,True
Throttle Body,35.99,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Throttle+Body+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Throttle+Body+used,,True
Catalytic Converter,286.7,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Catalytic+Converter+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Catalytic+Converter+used,,True
Muffler,124.76,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Muffler+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Muffler+used,,True
Exhaust Manifold,145.15,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Exhaust+Manifold+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Exhaust+Manifold+used,,True
Resonator,40.27,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Resonator+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Resonator+used,,True
Wiper Motor,41.43,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Wiper+Motor+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Wiper+Motor+used,,True
Washer Reservoir,60.07,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Washer+Reservoir+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Washer+Reservoir+used,,True
Jack Kit,119.08,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Jack+Kit+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Jack+Kit+used,,True
Tool Kit,35.66,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Tool+Kit+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Tool+Kit+used,,True
Antenna,28.86,,https://www.ebay.com/sch/i.html?_nkw=2016+BMW+528i+Antenna+used&LH_ItemCondition=3000,https://www.google.com/search?tbm=shop&q=2016+BMW+528i+Antenna+used,,True
